#{"t_start": 1711126802.3955579, "env_id": "LunarLander-v2"}
r,l,t
250.611231,267,1.720911
298.100077,318,1.868735
265.454156,309,2.012353
220.061362,323,2.162067
258.000114,271,2.285219
248.391313,310,2.42869
249.029544,408,2.617131
232.983043,257,2.735746
260.311959,261,2.855014
261.216057,231,2.962188
239.178172,231,3.069087
275.370433,325,3.218733
246.324958,283,3.347714
54.444263,287,3.478159
258.276596,310,3.622387
258.341231,398,3.802694
195.347638,298,3.940031
256.647743,290,4.086132
277.809599,276,4.212396
218.510746,294,4.349149
29.651183,282,4.477062
192.792651,328,4.629709
249.387737,240,4.740692
261.838654,240,4.855802
220.300507,281,4.987103
251.887177,235,5.097783
253.671197,291,5.229934
-37.669193,156,5.301539
269.82465,288,5.431594
213.103837,559,5.69034
271.118223,303,5.82827
200.66822,243,5.940731
184.13907,519,6.182939
249.025982,248,6.295362
256.605453,273,6.419055
276.833981,315,6.564313
282.752755,276,6.691259
-37.757065,276,6.818756
-3.780521,283,6.949254
260.827679,289,7.091635
3.044249,251,7.206795
233.112313,630,7.499923
59.427643,242,7.6108
60.776579,290,7.741374
176.274036,409,7.931985
245.535327,305,8.073014
275.629931,259,8.19269
269.17357,256,8.309911
236.422652,255,8.426497
258.237464,262,8.54617
259.213242,259,8.665214
270.252049,239,8.774955
203.688129,330,8.927271
261.362148,299,9.06676
241.185163,244,9.181318
231.356731,251,9.295581
-28.048158,168,9.372326
236.350513,246,9.484455
257.760279,260,9.603935
209.974143,694,9.92197
244.117314,253,10.03748
235.575519,269,10.159564
283.977161,281,10.289265
228.448148,236,10.397768
68.094206,280,10.525245
262.51151,245,10.63849
252.423512,326,10.78821
258.44971,274,10.916775
251.384244,282,11.04838
105.260558,1000,11.516987
246.703315,348,11.676812
257.606662,238,11.787776
248.962104,242,11.900928
266.350109,231,12.011986
238.368933,248,12.12738
258.624308,315,12.273141
226.785715,473,12.492798
253.426475,229,12.597801
248.370872,362,12.76362
11.416397,128,12.823541
250.419003,262,12.943388
222.627484,220,13.046582
240.287185,245,13.160383
261.754751,260,13.278684
251.102367,239,13.388283
218.78166,248,13.503131
235.476555,331,13.654872
273.684589,259,13.77333
240.694403,218,13.873624
244.344532,268,13.996343
241.000572,245,14.107935
250.307531,265,14.229668
233.245453,217,14.329239
253.803227,301,14.46522
127.041684,569,14.731317
33.536587,205,14.824842
270.880157,304,14.962955
214.304591,355,15.130706
211.361293,244,15.241597
283.197351,293,15.374108
191.478336,410,15.563127
248.100756,249,15.677109
258.713784,263,15.796566
-14.220965,184,15.881301
276.316965,362,16.047397
-17.974128,159,16.119969
237.388098,243,16.231642
255.50995,227,16.335149
246.040003,252,16.450013
43.642945,271,16.573308
186.46524,407,16.762399
259.584698,268,16.885148
232.741132,284,17.015778
164.840956,530,17.264576
242.292964,266,17.386113
265.103789,296,17.521811
48.75672,107,17.571677
236.028373,318,17.718569
159.692422,475,17.939206
165.003872,500,18.169658
223.204825,227,18.272785
226.596063,451,18.479222
232.568383,277,18.604853
229.503366,262,18.723845
268.704368,266,18.846394
41.622142,183,18.929322
238.271621,266,19.050783
232.329303,239,19.162625
252.845714,279,19.290405
36.286371,243,19.400703
210.001282,270,19.523468
270.295071,277,19.651087
-32.009419,189,19.736749
241.177484,303,19.876143
245.520976,275,20.001403
241.626797,298,20.137023
267.671357,279,20.264594
277.405986,373,20.433777
250.258546,265,20.554522
203.804293,527,20.795144
241.140872,322,20.942383
258.832609,213,21.03911
-13.985315,160,21.113197
264.152986,397,21.296865
250.796385,385,21.47365
268.383623,280,21.601025
250.996249,261,21.719843
265.992579,290,21.853474
244.042008,256,21.970072
274.838105,367,22.135578
222.767506,242,22.246154
206.028247,554,22.515858
184.934165,400,22.705225
259.259688,233,22.811941
271.531478,287,22.943959
226.364923,233,23.050483
190.453689,427,23.24998
273.469754,245,23.362362
268.88444,276,23.489717
242.729729,220,23.590436
222.111649,333,23.742768
185.283079,553,23.999066
262.362611,273,24.123893
245.197035,267,24.244888
244.236457,230,24.350073
250.24027,291,24.483801
235.312832,221,24.584583
