#{"t_start": 1710950472.15308, "env_id": "CartPole-v1"}
r,l,t
500.0,500,0.897302
500.0,500,0.947834
500.0,500,0.997833
500.0,500,1.041996
500.0,500,1.08521
500.0,500,1.127955
500.0,500,1.174499
500.0,500,1.221276
500.0,500,1.264315
500.0,500,1.306984
500.0,500,1.350079
500.0,500,1.392857
500.0,500,1.444032
500.0,500,1.488262
500.0,500,1.532747
500.0,500,1.575671
500.0,500,1.618998
500.0,500,1.661914
500.0,500,1.704793
500.0,500,1.748366
500.0,500,1.791344
500.0,500,1.83465
500.0,500,1.877781
500.0,500,1.929474
500.0,500,1.973104
500.0,500,2.01671
500.0,500,2.059429
500.0,500,2.103261
500.0,500,2.146455
500.0,500,2.189634
500.0,500,2.232688
500.0,500,2.275637
500.0,500,2.318605
500.0,500,2.361838
500.0,500,2.410138
500.0,500,2.455372
500.0,500,2.498447
500.0,500,2.542642
500.0,500,2.585494
500.0,500,2.627995
500.0,500,2.67082
500.0,500,2.71449
500.0,500,2.758305
500.0,500,2.801871
500.0,500,2.844756
500.0,500,2.88761
500.0,500,2.937875
500.0,500,2.981684
500.0,500,3.031325
500.0,500,3.074686
500.0,500,3.117672
500.0,500,3.161291
500.0,500,3.213212
500.0,500,3.256961
500.0,500,3.303642
500.0,500,3.347391
500.0,500,3.39137
500.0,500,3.446201
500.0,500,3.496716
500.0,500,3.547895
500.0,500,3.596647
500.0,500,3.674362
500.0,500,3.736
500.0,500,3.790534
500.0,500,3.839884
500.0,500,3.889335
500.0,500,3.941674
500.0,500,3.988308
500.0,500,4.034959
500.0,500,4.079955
500.0,500,4.127669
500.0,500,4.203492
500.0,500,4.282424
500.0,500,4.362472
500.0,500,4.441018
500.0,500,4.524498
500.0,500,4.606623
500.0,500,4.682408
500.0,500,4.759271
500.0,500,4.834998
500.0,500,4.910815
500.0,500,4.972682
500.0,500,5.020999
500.0,500,5.064823
500.0,500,5.108858
500.0,500,5.151586
500.0,500,5.194193
500.0,500,5.245185
500.0,500,5.29171
500.0,500,5.355046
500.0,500,5.403398
500.0,500,5.454667
500.0,500,5.500758
500.0,500,5.546136
500.0,500,5.591125
500.0,500,5.635975
500.0,500,5.681552
500.0,500,5.756384
500.0,500,5.865125
500.0,500,5.952188
